feature,importance_gain,importance_split,rank_gain,rank_split,category
miss_AL_171,0.0,0.0,567,345,missingness_indicator
miss_AL_169,0.0,0.0,568,344,missingness_indicator
miss_AL_168,0.0,0.0,569,343,missingness_indicator
miss_AL_166,0.0,0.0,570,401,missingness_indicator
miss_AL_165,0.0,0.0,571,374,missingness_indicator
miss_AL_163,0.0,0.0,572,403,missingness_indicator
miss_AL_160,0.0,0.0,573,414,missingness_indicator
miss_AL_178,0.0,0.0,574,464,missingness_indicator
miss_AL_159,0.0,0.0,575,463,missingness_indicator
miss_AL_157,0.0,0.0,576,462,missingness_indicator
miss_AL_156,0.0,0.0,577,461,missingness_indicator
miss_AL_154,0.0,0.0,578,460,missingness_indicator
miss_AL_153,0.0,0.0,579,459,missingness_indicator
miss_AL_151,0.0,0.0,580,458,missingness_indicator
miss_AL_150,0.0,0.0,581,457,missingness_indicator
miss_AL_148,0.0,0.0,582,456,missingness_indicator
miss_AL_147,0.0,0.0,583,455,missingness_indicator
miss_AL_177,0.0,0.0,584,454,missingness_indicator
miss_AL_180,0.0,0.0,585,453,missingness_indicator
miss_AL_84,0.0,0.0,586,452,missingness_indicator
miss_AL_196,0.0,0.0,587,451,missingness_indicator
miss_AL_206,0.0,0.0,588,450,missingness_indicator
miss_AL_205,0.0,0.0,589,449,missingness_indicator
miss_AL_204,0.0,0.0,590,448,missingness_indicator
miss_AL_203,0.0,0.0,591,465,missingness_indicator
miss_AL_202,0.0,0.0,592,447,missingness_indicator
miss_AL_201,0.0,0.0,593,466,missingness_indicator
miss_AL_200,0.0,0.0,594,468,missingness_indicator
miss_AL_199,0.0,0.0,595,485,missingness_indicator
miss_AL_198,0.0,0.0,596,484,missingness_indicator
miss_AL_194,0.0,0.0,597,483,missingness_indicator
miss_AL_181,0.0,0.0,598,482,missingness_indicator
miss_AL_193,0.0,0.0,599,481,missingness_indicator
miss_AL_192,0.0,0.0,600,480,missingness_indicator
miss_AL_190,0.0,0.0,601,479,missingness_indicator
miss_AL_189,0.0,0.0,602,478,missingness_indicator
miss_AL_188,0.0,0.0,603,477,missingness_indicator
miss_AL_187,0.0,0.0,604,476,missingness_indicator
miss_AL_186,0.0,0.0,605,475,missingness_indicator
miss_AL_184,0.0,0.0,606,474,missingness_indicator
miss_AL_183,0.0,0.0,607,402,missingness_indicator
miss_AL_145,0.0,0.0,608,472,missingness_indicator
miss_AL_144,0.0,0.0,609,471,missingness_indicator
miss_AL_142,0.0,0.0,610,470,missingness_indicator
miss_AL_95,0.0,0.0,611,469,missingness_indicator
miss_AL_103,0.0,0.0,612,467,missingness_indicator
miss_AL_102,0.0,0.0,613,446,missingness_indicator
miss_AL_100,0.0,0.0,614,445,missingness_indicator
miss_AL_99,0.0,0.0,615,444,missingness_indicator
miss_EK_2,0.0,0.0,616,422,missingness_indicator
miss_EK_1,0.0,0.0,617,421,missingness_indicator
miss_AL_98,0.0,0.0,618,420,missingness_indicator
miss_AL_97,0.0,0.0,619,419,missingness_indicator
miss_AL_96,0.0,0.0,620,418,missingness_indicator
miss_AL_94,0.0,0.0,621,417,missingness_indicator
miss_AL_141,0.0,0.0,622,416,missingness_indicator
miss_AL_93,0.0,0.0,623,415,missingness_indicator
miss_AL_92,0.0,0.0,624,413,missingness_indicator
miss_AL_91,0.0,0.0,625,404,missingness_indicator
miss_AL_90,0.0,0.0,626,412,missingness_indicator
miss_AL_89,0.0,0.0,627,411,missingness_indicator
miss_AL_88,0.0,0.0,628,410,missingness_indicator
miss_AL_87,0.0,0.0,629,409,missingness_indicator
miss_AL_86,0.0,0.0,630,408,missingness_indicator
